id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
1201625,"Apalachicola city, Florida",Florida,2000,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2001,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2002,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2003,observed,1,0.32,1,0.32,1,0.32
1201625,"Apalachicola city, Florida",Florida,2004,observed,1,0.32,1,0.32,1,0.32
1201625,"Apalachicola city, Florida",Florida,2005,observed,1,0.17,1,0.17,1,0.17
1201625,"Apalachicola city, Florida",Florida,2006,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2007,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2008,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2009,observed,1,0.17,1,0.17,1,0.17
1201625,"Apalachicola city, Florida",Florida,2010,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2011,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2012,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2013,observed,1,0.35,1,0.35,1,0.35
1201625,"Apalachicola city, Florida",Florida,2014,observed,1,0.35,1,0.35,1,0.35
1201625,"Apalachicola city, Florida",Florida,2015,observed,1,0.35,1,0.35,1,0.35
1201625,"Apalachicola city, Florida",Florida,2016,observed,1,0.24,1,0.24,1,0.24
1201625,"Apalachicola city, Florida",Florida,2017,observed,,,,,,
1201625,"Apalachicola city, Florida",Florida,2018,observed,,,,,,
1201675,"Apollo Beach CDP, Florida",Florida,2000,observed,20,5.04,13,3.27,7,1.76
1201675,"Apollo Beach CDP, Florida",Florida,2001,observed,18,4.53,14,3.53,5,1.26
1201675,"Apollo Beach CDP, Florida",Florida,2002,observed,23,5.79,18,4.53,13,3.27
1201675,"Apollo Beach CDP, Florida",Florida,2003,observed,23,5.79,18,4.53,10,2.52
1201675,"Apollo Beach CDP, Florida",Florida,2004,observed,29,7.3,27,6.8,20,5.04
1201675,"Apollo Beach CDP, Florida",Florida,2005,observed,43,9.15,38,8.09,24,5.11
1201675,"Apollo Beach CDP, Florida",Florida,2006,observed,24,5.11,23,4.89,17,3.62
1201675,"Apollo Beach CDP, Florida",Florida,2007,observed,19,4.04,18,3.83,15,3.19
1201675,"Apollo Beach CDP, Florida",Florida,2008,observed,25,5.32,25,5.32,18,3.83
1201675,"Apollo Beach CDP, Florida",Florida,2009,observed,32,6.81,31,6.6,17,3.62
1201675,"Apollo Beach CDP, Florida",Florida,2010,observed,39,3.81,39,3.81,25,2.44
1201675,"Apollo Beach CDP, Florida",Florida,2011,observed,38,3.09,38,3.09,13,1.06
1201675,"Apollo Beach CDP, Florida",Florida,2012,observed,20,1.62,20,1.62,17,1.38
1201675,"Apollo Beach CDP, Florida",Florida,2013,observed,18,1.46,18,1.46,16,1.3
1201675,"Apollo Beach CDP, Florida",Florida,2014,observed,34,2.76,34,2.76,23,1.87
1201675,"Apollo Beach CDP, Florida",Florida,2015,observed,42,3.41,38,3.09,24,1.95
1201675,"Apollo Beach CDP, Florida",Florida,2016,observed,50,4.17,46,3.83,28,2.33
1201675,"Apollo Beach CDP, Florida",Florida,2017,observed,28,2.33,28,2.33,20,1.67
1201675,"Apollo Beach CDP, Florida",Florida,2018,observed,31,2.58,29,2.42,20,1.67
1201700,"Apopka city, Florida",Florida,2000,observed,204,8.81,176,7.6,114,4.92
1201700,"Apopka city, Florida",Florida,2001,observed,152,6.57,141,6.09,92,3.97
1201700,"Apopka city, Florida",Florida,2002,observed,123,5.31,113,4.88,78,3.37
1201700,"Apopka city, Florida",Florida,2003,observed,154,6.65,134,5.79,88,3.8
1201700,"Apopka city, Florida",Florida,2004,observed,152,6.57,136,5.87,87,3.76
1201700,"Apopka city, Florida",Florida,2005,observed,178,6.73,169,6.39,112,4.24
1201700,"Apopka city, Florida",Florida,2006,observed,156,5.9,146,5.52,75,2.84
1201700,"Apopka city, Florida",Florida,2007,observed,196,7.41,179,6.77,105,3.97
1201700,"Apopka city, Florida",Florida,2008,observed,170,6.43,158,5.98,79,2.99
1201700,"Apopka city, Florida",Florida,2009,observed,130,4.92,126,4.77,122,4.61
1201700,"Apopka city, Florida",Florida,2010,observed,109,3.39,107,3.33,97,3.02
1201700,"Apopka city, Florida",Florida,2011,observed,118,3.05,116,3,113,2.92
1201700,"Apopka city, Florida",Florida,2012,observed,114,2.95,112,2.9,106,2.74
1201700,"Apopka city, Florida",Florida,2013,observed,117,3.03,113,2.92,100,2.59
1201700,"Apopka city, Florida",Florida,2014,observed,129,3.34,127,3.28,111,2.87
1201700,"Apopka city, Florida",Florida,2015,observed,163,4.22,154,3.98,106,2.74
1201700,"Apopka city, Florida",Florida,2016,observed,201,4.16,192,3.98,111,2.3
1201700,"Apopka city, Florida",Florida,2017,observed,143,2.96,132,2.73,87,1.8
1201700,"Apopka city, Florida",Florida,2018,observed,148,3.07,142,2.94,95,1.97
1201750,"Arcadia city, Florida",Florida,2000,observed,,,,,,
1201750,"Arcadia city, Florida",Florida,2001,observed,16,1.81,16,1.81,16,1.81
1201750,"Arcadia city, Florida",Florida,2002,observed,40,4.54,37,4.2,38,4.31
1201750,"Arcadia city, Florida",Florida,2003,observed,19,2.15,19,2.15,19,2.15
1201750,"Arcadia city, Florida",Florida,2004,observed,2,0.23,2,0.23,2,0.23
1201750,"Arcadia city, Florida",Florida,2005,observed,,,,,,
1201750,"Arcadia city, Florida",Florida,2006,observed,,,,,,
1201750,"Arcadia city, Florida",Florida,2007,observed,13,1.32,13,1.32,13,1.32
1201750,"Arcadia city, Florida",Florida,2008,observed,18,1.83,18,1.83,18,1.83
1201750,"Arcadia city, Florida",Florida,2009,observed,14,1.42,14,1.42,14,1.42
1201750,"Arcadia city, Florida",Florida,2010,observed,35,2.9,35,2.9,35,2.9
1201750,"Arcadia city, Florida",Florida,2011,observed,14,1.31,14,1.31,14,1.31
1201750,"Arcadia city, Florida",Florida,2012,observed,,,,,,
1201750,"Arcadia city, Florida",Florida,2013,observed,,,,,,
1201750,"Arcadia city, Florida",Florida,2014,observed,20,1.87,20,1.87,0,0
1201750,"Arcadia city, Florida",Florida,2015,observed,37,3.45,37,3.45,1,0.09
1201750,"Arcadia city, Florida",Florida,2016,observed,18,1.49,18,1.49,0,0
1201750,"Arcadia city, Florida",Florida,2017,observed,14,1.16,13,1.08,2,0.17
1201750,"Arcadia city, Florida",Florida,2018,observed,2,0.17,2,0.17,2,0.17
1201775,"Archer city, Florida",Florida,2000,observed,3,1.85,3,1.85,3,1.85
1201775,"Archer city, Florida",Florida,2001,observed,7,4.32,7,4.32,5,3.09
1201775,"Archer city, Florida",Florida,2002,observed,15,9.26,13,8.02,6,3.7
1201775,"Archer city, Florida",Florida,2003,observed,15,9.26,12,7.41,5,3.09
