fips,cofips,tract,county,state,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
12086013700,12086,Census Tract 137,Miami-Dade County,Florida,2012,observed,48.0,4.75,48.0,4.75,45.0,4.45
12086006713,12086,Census Tract 67.13,Miami-Dade County,Florida,2012,observed,11.0,1.57,11.0,1.57,10.0,1.43
12086019300,12086,Census Tract 193,Miami-Dade County,Florida,2012,observed,34.0,3.35,30.0,2.95,28.0,2.76
12086000131,12086,Census Tract 1.31,Miami-Dade County,Florida,2012,observed,10.0,2.53,10.0,2.53,10.0,2.53
12086002202,12086,Census Tract 22.02,Miami-Dade County,Florida,2012,observed,62.0,7.6,60.0,7.35,57.0,6.99
12086000123,12086,Census Tract 1.23,Miami-Dade County,Florida,2012,observed,9.0,2.12,9.0,2.12,9.0,2.12
12086005704,12086,Census Tract 57.04,Miami-Dade County,Florida,2012,observed,58.0,2.52,58.0,2.52,54.0,2.35
12086000501,12086,Census Tract 5.01,Miami-Dade County,Florida,2012,observed,35.0,4.23,34.0,4.11,29.0,3.5
12086007801,12086,Census Tract 78.01,Miami-Dade County,Florida,2012,observed,,,,,,
12086008304,12086,Census Tract 83.04,Miami-Dade County,Florida,2012,observed,36.0,7.26,35.0,7.06,34.0,6.85
12086000901,12086,Census Tract 9.01,Miami-Dade County,Florida,2012,observed,25.0,5.03,25.0,5.03,25.0,5.03
12086003915,12086,Census Tract 39.15,Miami-Dade County,Florida,2012,observed,45.0,2.9,45.0,2.9,40.0,2.58
12086001301,12086,Census Tract 13.01,Miami-Dade County,Florida,2012,observed,75.0,5.45,75.0,5.45,73.0,5.3
12086012300,12086,Census Tract 123,Miami-Dade County,Florida,2012,observed,9.0,3.7,9.0,3.7,9.0,3.7
12086010300,12086,Census Tract 103,Miami-Dade County,Florida,2012,observed,21.0,4.41,21.0,4.41,21.0,4.41
12086001606,12086,Census Tract 16.06,Miami-Dade County,Florida,2012,observed,14.0,1.19,14.0,1.19,14.0,1.19
12086008309,12086,Census Tract 83.09,Miami-Dade County,Florida,2012,observed,50.0,6.77,50.0,6.77,49.0,6.63
12086009044,12086,Census Tract 90.44,Miami-Dade County,Florida,2012,observed,8.0,2.67,8.0,2.67,7.0,2.33
12086002703,12086,Census Tract 27.03,Miami-Dade County,Florida,2012,observed,66.0,3.2,64.0,3.11,54.0,2.62
12086011500,12086,Census Tract 115,Miami-Dade County,Florida,2012,observed,14.0,4.29,14.0,4.29,14.0,4.29
12086008418,12086,Census Tract 84.18,Miami-Dade County,Florida,2012,observed,9.0,1.8,9.0,1.8,9.0,1.8
12086000140,12086,Census Tract 1.40,Miami-Dade County,Florida,2012,observed,28.0,2.13,28.0,2.13,27.0,2.05
12086007804,12086,Census Tract 78.04,Miami-Dade County,Florida,2012,observed,29.0,1.35,28.0,1.3,26.0,1.21
12086005901,12086,Census Tract 59.01,Miami-Dade County,Florida,2012,observed,8.0,1.13,8.0,1.13,8.0,1.13
12086000218,12086,Census Tract 2.18,Miami-Dade County,Florida,2012,observed,42.0,9.74,41.0,9.51,40.0,9.28
12086001602,12086,Census Tract 16.02,Miami-Dade County,Florida,2012,observed,20.0,2.55,20.0,2.55,19.0,2.43
12086008904,12086,Census Tract 89.04,Miami-Dade County,Florida,2012,observed,,,,,,
12086001802,12086,Census Tract 18.02,Miami-Dade County,Florida,2012,observed,43.0,6.7,40.0,6.23,36.0,5.61
12086000414,12086,Census Tract 4.14,Miami-Dade County,Florida,2012,observed,73.0,6.44,72.0,6.35,67.0,5.91
12086018700,12086,Census Tract 187,Miami-Dade County,Florida,2012,observed,2.0,1.52,2.0,1.52,1.0,0.76
12086009308,12086,Census Tract 93.08,Miami-Dade County,Florida,2012,observed,35.0,2.39,35.0,2.39,31.0,2.12
12086008416,12086,Census Tract 84.16,Miami-Dade County,Florida,2012,observed,10.0,2.77,10.0,2.77,9.0,2.49
12086019100,12086,Census Tract 191,Miami-Dade County,Florida,2012,observed,13.0,2.4,13.0,2.4,13.0,2.4
12086006702,12086,Census Tract 67.02,Miami-Dade County,Florida,2012,observed,59.0,1.86,54.0,1.7,50.0,1.57
12086000411,12086,Census Tract 4.11,Miami-Dade County,Florida,2012,observed,161.0,15.56,156.0,15.07,150.0,14.49
12086003400,12086,Census Tract 34,Miami-Dade County,Florida,2012,observed,180.0,24.32,174.0,23.51,156.0,21.08
12086006403,12086,Census Tract 64.03,Miami-Dade County,Florida,2012,observed,21.0,2.55,21.0,2.55,21.0,2.55
12086002402,12086,Census Tract 24.02,Miami-Dade County,Florida,2012,observed,65.0,4.68,64.0,4.6,59.0,4.24
12086009031,12086,Census Tract 90.31,Miami-Dade County,Florida,2012,observed,28.0,3.43,27.0,3.3,26.0,3.18
12086001401,12086,Census Tract 14.01,Miami-Dade County,Florida,2012,observed,93.0,6.83,89.0,6.54,82.0,6.02
12086006501,12086,Census Tract 65.01,Miami-Dade County,Florida,2012,observed,10.0,1.39,10.0,1.39,9.0,1.25
12086012900,12086,Census Tract 129,Miami-Dade County,Florida,2012,observed,28.0,5.76,28.0,5.76,28.0,5.76
12086003100,12086,Census Tract 31,Miami-Dade County,Florida,2012,observed,194.0,15.47,190.0,15.15,180.0,14.35
12086009705,12086,Census Tract 97.05,Miami-Dade County,Florida,2012,observed,18.0,1.99,17.0,1.88,17.0,1.88
12086014100,12086,Census Tract 141,Miami-Dade County,Florida,2012,observed,,,,,,
12086017900,12086,Census Tract 179,Miami-Dade County,Florida,2012,observed,14.0,3.66,14.0,3.66,13.0,3.4
12086005409,12086,Census Tract 54.09,Miami-Dade County,Florida,2012,observed,83.0,5.89,82.0,5.82,75.0,5.32
12086000130,12086,Census Tract 1.30,Miami-Dade County,Florida,2012,observed,3.0,1.12,3.0,1.12,2.0,0.74
12086000805,12086,Census Tract 8.05,Miami-Dade County,Florida,2012,observed,11.0,1.88,11.0,1.88,10.0,1.71
12086011007,12086,Census Tract 110.07,Miami-Dade County,Florida,2012,observed,26.0,3.0,26.0,3.0,24.0,2.77
12086011202,12086,Census Tract 112.02,Miami-Dade County,Florida,2012,observed,50.0,4.32,49.0,4.24,45.0,3.89
12086016400,12086,Census Tract 164,Miami-Dade County,Florida,2012,observed,8.0,2.79,8.0,2.79,8.0,2.79
12086010703,12086,Census Tract 107.03,Miami-Dade County,Florida,2012,observed,66.0,7.58,66.0,7.58,64.0,7.35
12086003705,12086,Census Tract 37.05,Miami-Dade County,Florida,2012,observed,6.0,1.51,6.0,1.51,6.0,1.51
12086010400,12086,Census Tract 104,Miami-Dade County,Florida,2012,observed,43.0,15.75,42.0,15.38,40.0,14.65
12086000129,12086,Census Tract 1.29,Miami-Dade County,Florida,2012,observed,1.0,1.32,1.0,1.32,1.0,1.32
12086010604,12086,Census Tract 106.04,Miami-Dade County,Florida,2012,observed,8.0,3.36,8.0,3.36,8.0,3.36
12086002501,12086,Census Tract 25.01,Miami-Dade County,Florida,2012,observed,48.0,4.06,47.0,3.97,45.0,3.8
12086001502,12086,Census Tract 15.02,Miami-Dade County,Florida,2012,observed,52.0,6.16,52.0,6.16,47.0,5.57
12086007104,12086,Census Tract 71.04,Miami-Dade County,Florida,2012,observed,16.0,1.89,15.0,1.77,15.0,1.77
12086010801,12086,Census Tract 108.01,Miami-Dade County,Florida,2012,observed,51.0,5.26,51.0,5.26,46.0,4.75
12086002800,12086,Census Tract 28,Miami-Dade County,Florida,2012,observed,51.0,15.6,48.0,14.68,43.0,13.15
12086011800,12086,Census Tract 118,Miami-Dade County,Florida,2012,observed,1.0,1.1,1.0,1.1,1.0,1.1
12086011101,12086,Census Tract 111.01,Miami-Dade County,Florida,2012,observed,92.0,4.93,92.0,4.93,87.0,4.66
12086000215,12086,Census Tract 2.15,Miami-Dade County,Florida,2012,observed,41.0,6.1,41.0,6.1,40.0,5.95
12086009806,12086,Census Tract 98.06,Miami-Dade County,Florida,2012,observed,5.0,1.92,5.0,1.92,5.0,1.92
12086004500,12086,Census Tract 45,Miami-Dade County,Florida,2012,observed,13.0,1.02,13.0,1.02,10.0,0.79
12086001302,12086,Census Tract 13.02,Miami-Dade County,Florida,2012,observed,62.0,3.72,60.0,3.6,58.0,3.48
12086012700,12086,Census Tract 127,Miami-Dade County,Florida,2012,observed,4.0,2.6,4.0,2.6,3.0,1.95
12086003004,12086,Census Tract 30.04,Miami-Dade County,Florida,2012,observed,39.0,2.26,39.0,2.26,38.0,2.2
12086001004,12086,Census Tract 10.04,Miami-Dade County,Florida,2012,observed,76.0,5.19,74.0,5.05,69.0,4.71
12086014900,12086,Census Tract 149,Miami-Dade County,Florida,2012,observed,5.0,1.36,5.0,1.36,5.0,1.36
12086004303,12086,Census Tract 43.03,Miami-Dade County,Florida,2012,observed,45.0,3.95,45.0,3.95,43.0,3.77
12086013600,12086,Census Tract 136,Miami-Dade County,Florida,2012,observed,18.0,1.79,18.0,1.79,17.0,1.69
12086011900,12086,Census Tract 119,Miami-Dade County,Florida,2012,observed,14.0,3.25,14.0,3.25,14.0,3.25
12086015300,12086,Census Tract 153,Miami-Dade County,Florida,2012,observed,7.0,6.48,7.0,6.48,7.0,6.48
12086006301,12086,Census Tract 63.01,Miami-Dade County,Florida,2012,observed,26.0,1.44,26.0,1.44,25.0,1.38
12086006302,12086,Census Tract 63.02,Miami-Dade County,Florida,2012,observed,14.0,1.83,14.0,1.83,14.0,1.83
12086006503,12086,Census Tract 65.03,Miami-Dade County,Florida,2012,observed,11.0,2.12,11.0,2.12,10.0,1.92
12086008902,12086,Census Tract 89.02,Miami-Dade County,Florida,2012,observed,14.0,1.65,14.0,1.65,14.0,1.65
12086008305,12086,Census Tract 83.05,Miami-Dade County,Florida,2012,observed,26.0,3.72,26.0,3.72,25.0,3.58
12086000709,12086,Census Tract 7.09,Miami-Dade County,Florida,2012,observed,34.0,2.93,32.0,2.75,31.0,2.67
12086008307,12086,Census Tract 83.07,Miami-Dade County,Florida,2012,observed,11.0,3.35,10.0,3.05,9.0,2.74
12086010900,12086,Census Tract 109,Miami-Dade County,Florida,2012,observed,45.0,3.63,45.0,3.63,38.0,3.06
12086002001,12086,Census Tract 20.01,Miami-Dade County,Florida,2012,observed,42.0,4.02,42.0,4.02,41.0,3.92
12086010009,12086,Census Tract 100.09,Miami-Dade County,Florida,2012,observed,11.0,3.24,11.0,3.24,11.0,3.24
12086000408,12086,Census Tract 4.08,Miami-Dade County,Florida,2012,observed,88.0,9.22,86.0,9.01,82.0,8.6
12086009504,12086,Census Tract 95.04,Miami-Dade County,Florida,2012,observed,16.0,5.8,16.0,5.8,16.0,5.8
12086980900,12086,Census Tract 9809,Miami-Dade County,Florida,2012,observed,,,,,,
12086019200,12086,Census Tract 192,Miami-Dade County,Florida,2012,observed,7.0,2.48,7.0,2.48,7.0,2.48
12086011404,12086,Census Tract 114.04,Miami-Dade County,Florida,2012,observed,26.0,3.08,26.0,3.08,24.0,2.84
12086000903,12086,Census Tract 9.03,Miami-Dade County,Florida,2012,observed,28.0,7.51,27.0,7.24,25.0,6.7
